data_sinal,prob_alta_proximo_pregao,real_alta_proximo_pregao,acertou,confianca
2019-11-12,0.583028,0,0,neutra
2019-11-13,0.524635,1,1,neutra
2019-11-14,0.507009,0,0,neutra
2019-11-18,0.532588,0,0,neutra
2019-11-19,0.566906,0,0,neutra
2019-11-21,0.519828,1,1,neutra
2019-11-22,0.492881,0,1,neutra
2019-11-25,0.53789,0,0,neutra
2019-11-26,0.538837,1,1,neutra
2019-11-27,0.514975,1,1,neutra
2019-11-28,0.504311,0,0,neutra
2019-11-29,0.480022,1,0,neutra
2019-12-02,0.537218,0,0,neutra
2019-12-03,0.526656,1,1,neutra
2019-12-04,0.438115,1,0,neutra
2019-12-05,0.503095,1,1,neutra
2019-12-06,0.503406,0,0,neutra
2019-12-09,0.499169,0,1,neutra
2019-12-10,0.517346,1,1,neutra
2019-12-11,0.519934,1,1,neutra
2019-12-12,0.497844,1,0,neutra
2019-12-13,0.500954,0,0,neutra
2019-12-16,0.538818,1,1,neutra
2019-12-17,0.476229,1,0,neutra
2019-12-18,0.474534,1,0,neutra
2019-12-19,0.48202,0,1,neutra
2019-12-20,0.539172,1,1,neutra
2019-12-23,0.499034,0,1,neutra
2019-12-26,0.51087,0,0,neutra
2019-12-27,0.513125,0,0,neutra
2019-12-30,0.515121,0,0,neutra
2020-01-02,0.51329,0,0,neutra
2020-01-03,0.528982,0,0,neutra
2020-01-06,0.517485,0,0,neutra
2020-01-07,0.550576,0,0,neutra
2020-01-08,0.556132,0,0,neutra
2020-01-09,0.5411,0,0,neutra
2020-01-10,0.521508,1,1,neutra
2020-01-13,0.441769,1,0,neutra
2020-01-14,0.520554,0,0,neutra
2020-01-15,0.519002,1,1,neutra
2020-01-16,0.530246,1,1,neutra
2020-01-17,0.496956,1,0,neutra
2020-01-20,0.494459,0,1,neutra
2020-01-21,0.569204,1,1,neutra
2020-01-22,0.53362,1,1,neutra
2020-01-23,0.511237,0,0,neutra
2020-01-24,0.591342,0,0,neutra
2020-01-27,0.631522,1,1,alta
2020-01-28,0.508759,0,0,neutra
2020-01-29,0.541098,1,1,neutra
2020-01-30,0.521706,0,0,neutra
2020-01-31,0.541151,1,1,neutra
2020-02-03,0.569718,1,1,neutra
2020-02-04,0.504679,1,1,neutra
2020-02-05,0.514065,0,0,neutra
2020-02-06,0.559805,0,0,neutra
2020-02-07,0.582506,0,0,neutra
2020-02-10,0.584443,1,1,neutra
2020-02-11,0.442531,1,0,neutra
2020-02-12,0.467376,0,1,neutra
2020-02-13,0.534005,0,0,neutra
2020-02-14,0.558429,1,1,neutra
2020-02-17,0.482007,0,1,neutra
2020-02-18,0.524129,1,1,neutra
2020-02-19,0.490758,0,1,neutra
2020-02-20,0.574313,0,0,neutra
2020-02-21,0.53113,0,0,neutra
2020-02-26,0.514494,0,0,neutra
2020-02-27,0.575431,1,1,neutra
2020-02-28,0.483095,1,0,neutra
2020-03-02,0.411104,0,1,neutra
2020-03-03,0.540947,1,1,neutra
2020-03-04,0.461308,0,1,neutra
2020-03-05,0.691407,0,0,alta
2020-03-06,0.646601,0,0,alta
2020-03-09,0.787267,1,1,alta
2020-03-10,0.365455,0,1,alta
2020-03-11,0.710736,0,0,alta
2020-03-12,0.777052,1,1,alta
2020-03-13,0.09761,0,1,alta
2020-03-16,0.665092,1,1,alta
2020-03-17,0.401332,0,1,neutra
2020-03-18,0.71292,1,1,alta
2020-03-19,0.294001,0,1,alta
2020-03-20,0.647334,0,0,alta
2020-03-23,0.553701,1,1,neutra
2020-03-24,0.087632,1,0,alta
2020-03-25,0.38319,1,0,alta
2020-03-26,0.589916,0,0,neutra
2020-03-27,0.729444,1,1,alta
2020-03-30,0.692563,0,0,alta
2020-03-31,0.643051,0,0,alta
2020-04-01,0.532017,1,1,neutra
2020-04-02,0.450083,0,1,neutra
2020-04-03,0.547142,1,1,neutra
2020-04-06,0.371555,1,0,alta
2020-04-07,0.517264,1,1,neutra
2020-04-08,0.470608,0,1,neutra
2020-04-09,0.524093,0,0,neutra
2020-04-13,0.471677,1,0,neutra
2020-04-14,0.536672,0,0,neutra
2020-04-15,0.591738,0,0,neutra
2020-04-16,0.487537,1,0,neutra
2020-04-17,0.450125,0,1,neutra
2020-04-20,0.54212,0,0,neutra
2020-04-22,0.352756,0,1,alta
2020-04-23,0.496374,0,1,neutra
2020-04-24,0.520765,1,1,neutra
2020-04-27,0.428764,1,0,neutra
2020-04-28,0.360064,1,0,alta
2020-04-29,0.274442,0,1,alta
2020-04-30,0.339563,0,1,alta
2020-05-04,0.382514,1,0,alta
2020-05-05,0.335461,0,1,alta
2020-05-06,0.481354,0,1,neutra
2020-05-07,0.495459,1,0,neutra
2020-05-08,0.42177,0,1,neutra
2020-05-11,0.475306,0,1,neutra
2020-05-12,0.654691,0,0,alta
2020-05-13,0.550287,1,1,neutra
2020-05-14,0.375716,0,1,alta
2020-05-15,0.480346,1,0,neutra
2020-05-18,0.298051,0,1,alta
2020-05-19,0.467957,1,0,neutra
2020-05-20,0.399361,1,0,alta
2020-05-21,0.412932,0,1,neutra
2020-05-22,0.430303,1,0,neutra
2020-05-25,0.341913,0,1,alta
2020-05-26,0.449751,1,0,neutra
2020-05-27,0.411093,0,1,neutra
2020-05-28,0.435745,1,0,neutra
2020-05-29,0.437744,1,0,neutra
2020-06-01,0.342023,1,0,alta
2020-06-02,0.386705,1,0,alta
2020-06-03,0.38204,1,0,alta
2020-06-04,0.397734,1,0,alta
2020-06-05,0.425985,1,0,neutra
2020-06-08,0.381557,0,1,alta
2020-06-09,0.41429,0,1,neutra
2020-06-10,0.462746,0,1,neutra
2020-06-12,0.399034,0,1,alta
2020-06-15,0.340657,1,0,alta
2020-06-16,0.486275,1,0,neutra
2020-06-17,0.414001,1,0,neutra
2020-06-18,0.41078,1,0,neutra
2020-06-19,0.512514,0,0,neutra
2020-06-22,0.419912,1,0,neutra
2020-06-23,0.481434,0,1,neutra
2020-06-24,0.52449,1,1,neutra
2020-06-25,0.450738,0,1,neutra
2020-06-26,0.562197,1,1,neutra
2020-06-29,0.396007,0,1,alta
2020-06-30,0.466687,1,0,neutra
2020-07-01,0.44189,1,0,neutra
2020-07-02,0.455419,1,0,neutra
2020-07-03,0.515662,1,1,neutra
2020-07-06,0.505259,0,0,neutra
2020-07-07,0.526928,1,1,neutra
